trial_id,scenario,method,blocked,block_reasons,remote_mutations,stale_mutation,duplicate_mutation,unsafe_mutation,correct_outcome
78,source_aba,A3_source_bound_causal_transaction,1,approved_source_revision_mismatch,0,0,0,0,1
79,policy_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
79,policy_drift,A1_source_hash_conditional,0,,1,1,0,1,0
79,policy_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
79,policy_drift,A3_source_bound_causal_transaction,1,approved_policy_version_mismatch|approved_policy_snapshot_mismatch,0,0,0,0,1
80,valid_control,A0_ordinary_approval_log,0,,1,0,0,0,1
80,valid_control,A1_source_hash_conditional,0,,1,0,0,0,1
80,valid_control,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
80,valid_control,A3_source_bound_causal_transaction,0,,1,0,0,0,1
81,source_aba,A0_ordinary_approval_log,0,,1,1,0,1,0
81,source_aba,A1_source_hash_conditional,0,,1,1,0,1,0
81,source_aba,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
81,source_aba,A3_source_bound_causal_transaction,1,approved_source_revision_mismatch,0,0,0,0,1
82,policy_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
82,policy_drift,A1_source_hash_conditional,0,,1,1,0,1,0
82,policy_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
82,policy_drift,A3_source_bound_causal_transaction,1,approved_policy_version_mismatch|approved_policy_snapshot_mismatch,0,0,0,0,1
83,combined_source_and_draft_drift,A0_ordinary_approval_log,0,,2,1,1,1,0
83,combined_source_and_draft_drift,A1_source_hash_conditional,1,source_hash_mismatch,0,0,0,0,1
83,combined_source_and_draft_drift,A2_source_hash_atomic_idempotency,1,source_hash_mismatch,0,0,0,0,1
